group,Column1,alignments,comments,distance ,original,phone similarity,suggested alignment,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant,IS,IW,DS,DW
0,m ? n d ? s i ? p r o t?,"[('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 's'), ('t', '-'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]","Alignment was missing ? in ""amend.""",4,? m ? n d ? s t e t ? p r o t?,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 's'), ('t', '-'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]",0,amend estate approach,Mend a sea approach,11.0,0.0,3.0,1.0,15.0,0.0,11.0,0.0,4.0,1.0,16.0,1.0,2.0,0.0,0.0,0.0
1,m ? n d ? z h i ? p r o t?,"[('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 'z'), ('t', '-'), ('-', 'h'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]","Alignment was missing ? in ""amend.""",6,? m ? n d ? s t e t ? p r o t?,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 84.0, 46.5, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 'z'), ('t', '-'), ('-', 'h'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]",8,amend estate approach,"men, does he approach",9.0,1.0,3.0,3.0,15.0,0.0,9.0,1.0,4.0,3.0,16.0,1.0,,,,
2,b ? ? ? r b i p k ? m æ n d,"[('v', 'b'), ('?', '?'), ('?', '?'), ('d', '-'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 'p'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","Alignment was missing ? in ""avoid.""",4,? v ? ? d ? r b i t k ? m æ n d,"[9.500000000000004, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 6.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('v', 'b'), ('?', '?'), ('?', '?'), ('d', '-'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 'p'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",16,avoid or beat command,Boy or beep command,12.0,0.0,1.0,2.0,15.0,0.0,12.0,0.0,2.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0
3,b ? ? b ? r p i k ? m æ n d,"[('v', 'b'), ('?', '?'), ('?', '?'), ('d', 'b'), ('?', '?'), ('r', 'r'), ('b', 'p'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","Alignment was missing ? in ""avoid.""",6,? v ? ? d ? r b i t k ? m æ n d,"[9.500000000000004, 0.0, 0.0, 6.000000000000001, 0.0, 0.0, 5.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('v', 'b'), ('?', '?'), ('?', '?'), ('d', 'b'), ('?', '?'), ('r', 'r'), ('b', 'p'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",24,avoid or beat command,Boy Burpee Comand,10.0,0.0,1.0,4.0,15.0,0.0,10.0,0.0,2.0,4.0,16.0,1.0,1.0,0.0,1.0,0.0
4,? ? w e t f ? r ð ? k ? m æ n d,"[('?', '?'), ('v', '-'), ('?', '?'), ('-', 'w'), ('?', 'e'), ('d', 't'), ('-', 'f'), ('?', '?'), ('r', 'r'), ('b', 'ð'), ('i', '?'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","No suggested alignment, was curious why the dipthong '???' is separated out here when it seems to be aligned to a single vowel for other transcriptions. See Row 61 & 121 on Ataxic Data for examples",9,? v ? ? d ? r b i t k ? m æ n d,"[0.0, 85.5, 0.0, 75.0, 0.0, 5.0, 80.5, 0.0, 0.0, 11.5, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('v', '-'), ('?', '?'), ('-', 'w'), ('?', 'e'), ('d', 't'), ('-', 'f'), ('?', '?'), ('r', 'r'), ('b', 'ð'), ('i', '?'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",32,avoid or beat command,I wait for the command,8.0,2.0,2.0,6.0,16.0,0.0,8.0,2.0,2.0,6.0,16.0,0.0,1.0,0.0,0.0,0.0
5,b æ l ? n s k l ? ? ? n t æ n d m ? t ? l,"[('b', 'b'), ('æ', 'æ'), ('l', 'l'), ('?', '?'), ('n', 'n'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('-', '?'), ('æ', '??'), ('m', 'n'), ('p', 't'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', '-'), ('-', 'm'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",Paired /b/ and /m/ since they are both bilabial consonants,6,b æ l ? n s k l æ m p æ n d b ? t ? l,,"[('b', 'b'), ('æ', 'æ'), ('l', 'l'), ('?', '?'), ('n', 'n'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('-', '?'), ('æ', '??'), ('m', 'n'), ('p', 't'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', 'm'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",40,balance clamp and bottle,balance client and model,15.0,2.0,1.0,3.0,19.0,0.0,15.0,1.0,0.0,4.0,19.0,0.0,,,,
6,s ? ? n ? s ? ? k ? n b æ t,"[('b', 's'), ('?', '?'), ('s', '-'), ('?', '?'), ('-', 'n'), ('?', '?'), ('d', '-'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]","Aligned /s/ in ""sign"" to /s/ in beside. This aligns the second vowel /?/  and the alveolar consonants /d/ and /n/.",3,b ? s ? ? d ? s ? ? k ? n b æ t,"[18.5, 0.0, 76.5, 0.0, 109.0, 0.0, 89.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', '-'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'n'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",48,beside a sunken bat,sign sunken bat,9.0,1.0,3.0,4.0,16.0,0.0,11.0,0.0,3.0,2.0,16.0,1.0,,,,
7,? s ? ? n ? s ? ? k ? n b æ t,"[('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', '-'), ('-', 'n'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]","Added missing /b/ to alignment. Same as above, I believe the alveolar consonants /d/ and /n/ can be aligned.",2,b ? s ? ? d ? s ? ? k ? n b æ t,"[0.0, 0.0, 0.0, 0.0, 89.0, 109.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', '-'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'n'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",56,beside a sunken bat,Assign a sunken bat,14.0,1.0,1.0,0.0,15.0,0.0,14.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
8,h i s ? n t ? s s ? m ? ? ? b æ k,"[('-', 'h'), ('?', 'i'), ('s', 's'), ('??', '?'), ('-', 'n'), ('d', 't'), ('?', '?'), ('s', 'ss'), ('?', '?'), ('-', 'm'), ('-', '?'), ('-', '?'), ('?', '?'), ('k', '-'), ('?', '-'), ('n', '-'), ('b', 'b'), ('æ', 'æ'), ('t', 'k')]","Missing /b/ in alignment. Split /s/ and aligned the first nasal consonants in ""sunken"" and ""something.""",12,b ? s ? ? d ? s ? ? k ? n b æ t,,"[('b', '-'), ('-', 'h'), ('?', 'i'), ('s', 's'), ('??', '?'), ('-', 'n'), ('d', 't'), ('?', '?'), ('-', 's'), ('s', 's'), ('?', '?'), ('?', 'm'), ('k', '-'), ('-', '?'), ('?', '?'), ('n', '?'), ('b', 'b'), ('æ', 'æ'), ('t', 'k')]",64,beside a sunken bat,he sent us something back,5.0,5.0,4.0,6.0,15.0,1.0,5.0,4.0,3.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0
9,ð ? s ? z f r o z ? n æ f t ? r,"[('b', 'ð'), ('?', '?'), ('?', 's'), ('?', '?'), ('z', 'z'), ('t?', '-'), ('-', 'f'), ('-', 'r'), ('o', 'o'), ('z', 'z'), ('?', '?'), ('n', 'n'), ('æ', 'æ'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",Aligned voiceless fricative consonants /t?/ and /f/.,5,b ? ? ? z t? o z ? n æ f t ? r,"[11.5, 0.0, 3.999999999999999, 0.0, 0.0, 75.0, 80.5, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', 'ð'), ('?', '?'), ('?', 's'), ('?', '?'), ('z', 'z'), ('t?', 'f'), ('-', 'r'), ('o', 'o'), ('z', 'z'), ('?', '?'), ('n', 'n'), ('æ', 'æ'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",72,bush is chosen after,This is frozen after,11.0,2.0,2.0,3.0,16.0,0.0,11.0,1.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0
10,t? i p p ? n t r o l æ n d p e p ? r,"[('t?', 't?'), ('i', 'i'), ('p', 'p'), ('k', '-'), ('-', 'p'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('o', 'o'), ('l', 'l'), ('?', 'æ'), ('n', 'n'), ('-', 'd'), ('p', 'p'), ('e', 'e'), ('p', 'p'), ('?', '?'), ('r', 'r')]",Aligned plosive consonants /k/ and /p/,4,t? i p k ? n t r o l ? n p e p ? r,"[0.0, 0.0, 0.0, 74.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t?', 't?'), ('i', 'i'), ('p', 'p'), ('k', 'p'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('o', 'o'), ('l', 'l'), ('?', 'æ'), ('n', 'n'), ('-', 'd'), ('p', 'p'), ('e', 'e'), ('p', 'p'), ('?', '?'), ('r', 'r')]",80,cheap control in paper,Cheap pen troll and paper.,14.0,2.0,2.0,2.0,18.0,0.0,14.0,1.0,1.0,3.0,18.0,0.0,,,,
11,ð ? r ? z ? b ? r d ? g ? n,"[('k', 'ð'), ('?', '?'), ('n', '-'), ('f', '-'), ('j', '-'), ('-', 'r'), ('u', '?'), ('z', 'z'), ('d', '-'), ('-', '?'), ('b', 'b'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', '-'), ('r', '-'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","Aligned /n/ and /r/ since they are both alveolar consonants. The /b/ in but was aligned to the /b/ in board but it through off the rest of the vowels, I.E. /?/ in ""roared"" was not aligned to the /?/ in ""board.""",10,k ? n f j u z d b ? t r ? r d ? g ? n,"[24.500000000000004, 0.0, 109.0, 80.5, 63.0, 84.0, 0.0, 0.0, 89.0, 75.0, 0.0, 0.0, 84.0, 0.0, 75.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', 'ð'), ('?', '?'), ('n', 'r'), ('f', '-'), ('j', '-'), ('u', '?'), ('z', 'z'), ('d', '-'), ('b', '-'), ('?', '?'), ('t', 'b'), ('r', '-'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",88,confused but roared again,There is a board again,8.0,2.0,7.0,4.0,19.0,0.0,8.0,0.0,5.0,6.0,19.0,0.0,1.0,0.0,0.0,0.0
12,m ? ? k i z f ? l t b ? r n d ? g ? n,"[('-', 'm'), ('?', '?'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '?'), ('-', 'k'), ('-', 'i'), ('z', 'z'), ('-', 'f'), ('-', '?'), ('-', 'l'), ('d', 't'), ('b', 'b'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', '-'), ('r', '-'), ('-', 'n'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","Alignment was missing /k/ in ""confused."" Aligned the second /r/ in ""roared"" with the /n/ in burned, both are alveolar consonants? This may be a stretch here.",12,k ? n f j u z d b ? t r ? r d ? g ? n,"[115.0, 0.0, 109.0, 80.5, 63.0, 0.0, 74.0, 75.0, 0.0, 80.5, 75.0, 79.0, 5.0, 0.0, 0.0, 84.0, 0.0, 75.0, 84.0, 109.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('-', 'm'), ('?', '?'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '?'), ('-', 'k'), ('-', 'i'), ('z', 'z'), ('-', 'f'), ('-', '?'), ('-', 'l'), ('d', 't'), ('b', 'b'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', '-'), ('r', 'n'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",96,confused but roared again,My keys felt burned again,8.0,7.0,6.0,4.0,18.0,1.0,8.0,6.0,6.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0
13,k ? n f j u z d b ? t w ? r d ? g ? n,"[('k', 'k'), ('?', '?'), ('n', 'n'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', '-'), ('-', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",Aligned /r/ and /w/ because the liquid was changed to a glide. (WOO Module 6 Dr. LaCross!!!) ,2,k ? n f j u z d b ? t r ? r d ? g ? n,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', 'k'), ('?', '?'), ('n', 'n'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",104,confused but roared again,Confused but ward again.,17.0,1.0,1.0,1.0,19.0,0.0,17.0,0.0,0.0,2.0,19.0,0.0,,,,
14,k ? n f j u z d b ? ? w ? r d z ? g ? n,"[('k', 'k'), ('?', '?'), ('n', 'n'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', '-'), ('r', '-'), ('-', '?'), ('-', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('-', 'z'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",Aligned /r/ and /w/ because the liquid was changed to a glide. (WOO Module 6 Dr. LaCross!!!) ,5,k ? n f j u z d b ? t r ? r d ? g ? n,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 84.0, 75.0, 75.0, 0.0, 0.0, 0.0, 81.5, 0.0, 0.0, 0.0, 0.0]","[('k', 'k'), ('?', '?'), ('n', 'n'), ('f', 'f'), ('j', 'j'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('-', '?'), ('t', '-'), ('r', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('-', 'z'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",112,confused but roared again,confused by words again,15.0,3.0,2.0,2.0,19.0,0.0,15.0,2.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0
15,ð ? s ? n s ? s ? n t l i l i k ? ? b e s m ? n t,"[('d', 'ð'), ('?', '?'), ('s', 's'), ('-', '?'), ('-', 'n'), ('t', 's'), ('?', '?'), ('-', 's'), ('-', '?'), ('n', 'n'), ('t', 't'), ('l', 'l'), ('i', 'i'), ('-', 'l'), ('-', 'i'), ('k', 'k'), ('?', '?'), ('?', '?'), ('b', 'b'), ('e', 'e'), ('s', 's'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('t', 't')]","Missing first /t/ in distant. With the added /t/, the vowels /?/ and /?/ align, and consonants /n/ and /n/ align nicely. Shifted the /li/ at the end of ""incessantly"" to align with the /li/ in ""leaking."" Since the participant did hear the word ""leaking.""",8,d ? s t ? n t l i k ? ? b e s m ? n t,"[9.500000000000004, 0.0, 0.0, 75.0, 109.0, 7.500000000000001, 0.0, 76.5, 75.0, 0.0, 0.0, 0.0, 0.0, 79.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('d', 'ð'), ('?', '?'), ('s', 's'), ('t', '-'), ('?', '?'), ('n', 'n'), ('t', 's'), ('-', '?'), ('-', 's'), ('-', '?'), ('n', 'n'), ('t', 't'), ('-', 'l'), ('-', 'i'), ('l', 'l'), ('i', 'i'), ('k', 'k'), ('?', '?'), ('?', '?'), ('b', 'b'), ('e', 'e'), ('s', 's'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('t', 't')]",120,distant leaking basement,this incessantly leaking basement,16.0,6.0,0.0,3.0,19.0,0.0,17.0,5.0,1.0,3.0,21.0,0.0,,,,
16,d? ? n w ? z f ? n i ? s t ? n ð o,"[('d', 'd'), ('-', '?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('f', 'f'), ('??', '?'), ('n', 'n'), ('?', 'i?'), ('s', 's'), ('t', 't'), ('h', '-'), ('æ', '?'), ('n', 'n'), ('d', 'ð'), ('?', 'o'), ('l', '-')]","Grouped /d/ and /?/ to one alignment. There was a pairing that Dr. LaCross mentioned I should look for /i?/, would ""funniest"" be transcribed /f?ni?st/ or /funi?st/?",12,d ? n w ? ? f ? ? n ? s t h æ n d ? l,,"[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('f', 'f'), ('??', '?'), ('n', 'n'), ('-', 'i'), ('?', '?'), ('s', 's'), ('t', 't'), ('h', '-'), ('æ', '?'), ('n', 'n'), ('d', 'ð'), ('?', 'o'), ('l', '-')]",128,done with finest handle,Jon was funniest in tho,8.0,1.0,3.0,8.0,19.0,0.0,7.0,1.0,3.0,9.0,19.0,0.0,,,,
17,d ? n w ? ? f ? n n ? n t ? n d o,"[('d', 'd'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', '?'), ('f', 'f'), ('??', '?'), ('n', 'nn'), ('?', '?'), ('s', '-'), ('-', 'n'), ('t', 't'), ('h', '-'), ('æ', '?'), ('n', 'n'), ('d', 'd'), ('?', 'o'), ('l', '-')]","I think the double /nn/ would be helpful to split into individual phonemes. The /s/ in ""finest"" and second /n/ in ""nintendo"" can be aligned as they are both alveolar consonants?",8,d ? n w ? ? f ? ? n ? s t h æ n d ? l,,"[('d', 'd'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', '?'), ('f', 'f'), ('??', '?'), ('n', 'n'), ('-', 'n'), ('?', '?'), ('s', 'n'), ('t', 't'), ('h', '-'), ('æ', '?'), ('n', 'n'), ('d', 'd'), ('?', 'o'), ('l', '-')]",136,done with finest handle,Done with fun Nintendo,10.0,1.0,4.0,5.0,19.0,0.0,11.0,1.0,3.0,5.0,19.0,0.0,0.0,1.0,1.0,0.0
18,d? ? n w ? z f ? ? n æ z ð ? ? n d ð o,"[('d', 'd'), ('-', '?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('f', 'f'), ('?', '?'), ('?', '?'), ('n', 'n'), ('?', 'æ'), ('s', 'z'), ('t', 'ð'), ('h', '-'), ('æ', 'i?'), ('n', 'n'), ('d', 'd'), ('-', 'ð'), ('?', 'o'), ('l', '-')]","Combined /d/ and /?/, inappropriate combination of vowels /i?/ for the transcription of ""the"", originally it was transcribed as /ði/ and while this is correctI think that the participant heard it as [ð?] which would make more sense in the context of ""handle?"" Maybe I am wrong here.",11,d ? n w ? ? f ? ? n ? s t h æ n d ? l,,"[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('f', 'f'), ('?', '?'), ('?', '?'), ('n', 'n'), ('?', 'æ'), ('s', 'z'), ('t', 'ð'), ('h', '-'), ('-', '?'), ('æ', ""?''), ('n', 'n'), ('d', 'd'), ('-', 'ð'), ('?', 'o'), ('l', '-')]",144,done with finest handle,John was fine as the end though,9.0,2.0,2.0,8.0,19.0,0.0,,,,,,,,,,
19,e b ? r k ? r ? r m e t e k h ? r s i t,"[('?', 'e'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('-', '?'), ('-', 'r'), ('-', 'm'), ('-', 'e'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('-', 'f'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",Participant transcription was wrong - see original cell in Ataxic Data,8,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 115.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 84.0, 115.0, 75.0, 0.0, 0.0, 0.0, 46.5, 80.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'e'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('-', '?'), ('-', 'r'), ('-', 'm'), ('-', 'e'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', 's'), ('i', 'i'), ('t', 't')]",152,embark or take her sheet,A bark or ore may take her seat,13.0,5.0,2.0,2.0,17.0,0.0,14.0,4.0,1.0,2.0,17.0,0.0,,,,
20,e b ? r k w ? d t e k f ? r ? i t,"[('?', '?'), ('m', 'm'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]","Participant transcription was wrong - see original cell in Ataxic Data, aligned vowels in ""would"" with ""or"" and /r/ to /d/ since both are alveolar consonants, /h/ to /f/ since both are fricatives.",0,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'e'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('-', 'w'), ('?', '?'), ('r', 'd'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'f'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",160,embark or take her sheet,A bark would take for sheet,17.0,0.0,0.0,0.0,17.0,0.0,11.0,1.0,1.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0
