group,Column1,alignments,comments,distance ,original,phone similarity,suggested alignment,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant,IS,IW,DS,DW
21,æ n d b ? r b ? r t e k h ? r ? i p,"[('?', 'æ'), ('m', 'n'), ('-', 'd'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', '-'), ('-', 'b'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 'p')]",Aligned plosive consonants /k/ and /b/,5,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 6.000000000000001, 89.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'æ'), ('m', 'n'), ('-', 'd'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'b'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 'p')]",168,embark or take her sheet,And barb take her sheep,13.0,2.0,1.0,3.0,17.0,0.0,13.0,1.0,0.0,4.0,17.0,0.0,,,,
22,æ z j ? r f e m w ? ? l i g ? l,"[('?', 'æ'), ('?', 'z'), ('-', 'j'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', 'l'), ('i', 'i'), ('g', 'g'), ('?', '?'), ('l', 'l')]",Missing /m/ in alignment. ,4,m ? ? ? r f e m w ? ? l i g ? l,"[0.0, 3.999999999999999, 63.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('m', '-'), ('?', 'æ'), ('?', 'z'), ('-', 'j'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', 'l'), ('i', 'i'), ('g', 'g'), ('?', '?'), ('l', 'l')]",176,measure fame with legal,As your fame with legal,12.0,1.0,0.0,3.0,15.0,0.0,12.0,1.0,1.0,3.0,16.0,0.0,0.0,1.0,0.0,0.0
23,m ? ? ? r f r e m w ? ? p i k o,"[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', ['f', 'f']), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', '-'), ('-', 'p'), ('i', 'i'), ('g', 'k'), ('?', 'o'), ('l', '-')]",Alignment transcription was wrong.,5,m ? ? ? r f e m w ? ? l i g ? l,,"[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('-', 'r'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', '-'), ('-', 'p'), ('i', 'i'), ('g', 'k'), ('?', 'o'), ('l', '-')]",184,measure fame with legal,measure frame with pico,,,,,,,12.0,2.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0
24,m ? ? ? r ? ? w ? ? ð ? g o l,"[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', '-'), ('e', '?'), ('m', '-'), ('-', '?'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', '-'), ('-', 'ð'), ('i', '?'), ('g', 'g'), ('?', 'o'), ('l', 'l')]",Paired nasal consonants /m/ and /?/,6,m ? ? ? r f e m w ? ? l i g ? l,"[0.0, 0.0, 0.0, 0.0, 0.0, 80.5, 0.0, 115.0, 99.0, 0.0, 0.0, 0.0, 79.0, 83.5, 0.0, 0.0, 0.0, 0.0]","[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', '-'), ('e', '?'), ('m', '?'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', '-'), ('-', 'ð'), ('i', '?'), ('g', 'g'), ('?', 'o'), ('l', 'l')]",192,measure fame with legal,Measuring with the goal,10.0,2.0,3.0,3.0,16.0,0.0,10.0,1.0,2.0,4.0,16.0,0.0,0.0,1.0,1.0,0.0
25,m ? ? ? r f l e m w ? ? f l e v ? r,"[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('-', 'l'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('-', 'f'), ('l', 'l'), ('i', 'e'), ('g', '-'), ('-', 'v'), ('?', '?'), ('l', '-'), ('-', 'r')]","Could be wrong but is /l/ considered an alveolar consonant? If so, can it be aligned with /r/?",5,m ? ? ? r f e m w ? ? l i g ? l,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.5, 0.0, 0.0, 79.0, 85.5, 0.0, 79.0, 84.0]","[('m', 'm'), ('?', '?'), ('?', '?'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('-', 'l'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('-', 'f'), ('l', 'l'), ('i', 'e'), ('g', '-'), ('-', 'v'), ('?', '?'), ('l', 'r')]",200,measure fame with legal,measure flame with flavor,13.0,4.0,2.0,1.0,16.0,0.0,13.0,3.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0
26,w ? r z j ? r f e m w ? ? l i g ? l,"[('-', 'w'), ('?', '?'), ('-', 'r'), ('?', 'z'), ('-', 'j'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', 'l'), ('i', 'i'), ('g', 'g'), ('?', '?'), ('l', 'l')]","Could be wrong but does /w/ is a voiced labial-velar approximant, and /m/ is a bilabial consonant.could these be aligned?",5,m ? ? ? r f e m w ? ? l i g ? l,"[75.0, 0.0, 84.0, 3.999999999999999, 63.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('m', 'w'), ('?', '?'), ('-', 'r'), ('?', 'z'), ('-', 'j'), ('?', '?'), ('r', 'r'), ('f', 'f'), ('e', 'e'), ('m', 'm'), ('w', 'w'), ('?', '?'), ('?', '?'), ('l', 'l'), ('i', 'i'), ('g', 'g'), ('?', '?'), ('l', 'l')]",208,measure fame with legal,wheres your with legal,13.0,3.0,0.0,2.0,15.0,1.0,13.0,2.0,0.0,3.0,16.0,0.0,,,,
27,g r æ n d p ? b o s t ? ? k æ p t ? n,"[('r', 'r'), ('æ', 'æ'), ('m', 'n'), ('-', 'd'), ('p', 'p'), ('?', '?'), ('n', '-'), ('t', '-'), ('b', 'b'), ('o', 'o'), ('s', 's'), ('t', 't'), ('?', '?'), ('?', '?'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",Alignment missing /g/,5,r æ m p ? n t b o s t ? ? k æ p t ? n,"[0.0, 0.0, 6.000000000000001, 89.0, 0.0, 0.0, 109.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('-', 'g'), ('r', 'r'), ('æ', 'æ'), ('m', 'n'), ('-', 'd'), ('p', 'p'), ('?', '?'), ('n', '-'), ('t', '-'), ('b', 'b'), ('o', 'o'), ('s', 's'), ('t', 't'), ('?', '?'), ('?', '?'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",216,rampant boasting captain,Grandpa Bosting Captain,16.0,1.0,2.0,1.0,19.0,0.0,16.0,2.0,2.0,1.0,19.0,0.0,,,,
28,b o ? s ? ? k f ? r ð ? k æ p t ? n,"[('-', 'b'), ('æ', 'o'), ('m', '-'), ('p', '-'), ('?', '-'), ('n', '-'), ('t', '?'), ('b', '-'), ('o', '-'), ('s', 's'), ('t', '-'), ('?', '?'), ('?', '?'), ('k', 'k'), ('-', 'f'), ('æ', '?'), ('-', 'r'), ('-', 'ð'), ('-', '?'), ('-', 'k'), ('-', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]","Seems like the participant missed the word ""rampant."" Makes sense to align ""both sink"" to ""boasting.""",13,r æ m p ? n t b o s t ? ? k æ p t ? n,"[95.0, 0.0, 115.0, 90.0, 75.0, 109.0, 9.500000000000004, 95.0, 75.0, 0.0, 84.0, 0.0, 0.0, 0.0, 80.5, 0.0, 84.0, 83.5, 75.0, 74.0, 75.0, 0.0, 0.0, 0.0, 0.0]","[('r', '-'), ('æ', '-'), ('m', '-'), ('p', '-'), ('?', '-'), ('n', '-'), ('t', '-'), ('b', 'b'), ('o', 'o'), ('s', '?'), ('t', 's'), ('?', '?'), ('?', '?'), ('-', 'k'), ('-', 'f'), ('-', '?'), ('-', 'r'), ('-', 'ð'), ('-', '?'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",224,rampant boasting captain,both sink for the captain,8.0,7.0,7.0,3.0,18.0,1.0,10.0,6.0,7.0,2.0,19.0,1.0,0.0,2.0,0.0,0.0
29,r ? b ð ? l æ m p f ? r t i z ? ?,"[('r', 'r'), ('o', '?'), ('d', 'b'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', 'i'), ('z', 'z'), ('?', '?'), ('?', '?')]",Seems like the wrong sentence was listed here.,2,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 6.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('o', '?'), ('d', 'b'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', 'i'), ('z', 'z'), ('?', '?'), ('?', '?')]",232,rode the lamp for teasing,rub the lamp for teasing,15.0,0.0,0.0,2.0,17.0,0.0,15.0,0.0,0.0,2.0,17.0,0.0,,,,
30,r o d w ? z m ? n t f ? r t i z ? ?,"[('r', 'r'), ('o', 'o'), ('d', 'd'), ('-', 'w'), ('-', '?'), ('ð', 'z'), ('?', '-'), ('l', '-'), ('æ', '-'), ('m', 'm'), ('-', '?'), ('-', 'n'), ('p', 't'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', 'i'), ('z', 'z'), ('?', '?'), ('?', '?')]","Aligned the vowel in ""was"" with ""the"", which helped align the alveolar consonants /l/ and /z/. This may be a stretch?",6,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 0.0, 75.0, 75.0, 2.0000000000000018, 75.0, 79.0, 75.0, 0.0, 75.0, 109.0, 6.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('o', 'o'), ('d', 'd'), ('ð', 'w'), ('?', '?'), ('l', 'z'), ('m', 'm'), ('æ', '?'), ('-', 'n'), ('p', 't'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', 'i'), ('z', 'z'), ('?', '?'), ('?', '?')]",240,rode the lamp for teasing,road was meant for teasing,12.0,4.0,3.0,2.0,17.0,0.0,13.0,1.0,0.0,4.0,17.0,0.0,,,,
31,r o d ð ? l ? ? ? f ? r t? i z i,"[('r', 'r'), ('o', 'o'), ('d', 'd'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', '?'), ('m', '-'), ('-', '?'), ('p', '?'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't?'), ('i', 'i'), ('z', 'z'), ('?', 'i'), ('?', '-')]",Aligned the nasal consonants /m/ and /?/,6,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 115.0, 99.0, 11.5, 0.0, 0.0, 0.0, 8.999999999999998, 0.0, 0.0, 0.0, 99.0]","[('r', 'r'), ('o', 'o'), ('d', 'd'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', '?'), ('m', '?'), ('p', '?'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't?'), ('i', 'i'), ('z', 'z'), ('?', 'i'), ('?', '-')]",248,rode the lamp for teasing,road the length for cheesy,11.0,1.0,2.0,4.0,17.0,0.0,11.0,0.0,1.0,5.0,17.0,0.0,,,,
32,b r o k ð ? l æ m p f ? r i z i,"[('r', 'r'), ('o', 'o'), ('d', '-'), ('-', 'k'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', '-'), ('i', 'i'), ('z', 'z'), ('?', 'i'), ('?', '-')]",Alignment was missing /b/. Can /d/ and /k/ be aligned since they are both plosives?,5,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 89.0, 74.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 0.0, 0.0, 0.0, 99.0]","[('-', 'b'), ('r', 'r'), ('o', 'o'), ('d', 'k'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', '-'), ('i', 'i'), ('z', 'z'), ('?', 'i'), ('?', '-')]",256,rode the lamp for teasing,Broke the lamp for easy,13.0,1.0,3.0,1.0,17.0,0.0,13.0,1.0,2.0,2.0,17.0,0.0,,,,
33,r o ð ? l i p l æ m p f ? r t ? s t ? ?,"[('r', 'r'), ('o', 'o'), ('d', '-'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'i'), ('-', 'p'), ('-', 'l'), ('-', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', '?'), ('z', 's'), ('-', 't'), ('?', '?'), ('?', '?')]","Alignment used the /l/ and /æ/ to align the word ""lamp."" I think this would be a better alignment.",7,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 90.0, 79.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 84.0, 0.0, 0.0]","[('r', 'r'), ('o', 'o'), ('d', '-'), ('ð', 'ð'), ('?', '?'), ('-', 'l'), ('-', 'i'), ('-', 'p'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('t', 't'), ('i', '?'), ('z', 's'), ('-', 't'), ('?', '?'), ('?', '?')]",264,rode the lamp for teasing,Row the leap lamp for testing,13.0,4.0,1.0,3.0,17.0,0.0,14.0,4.0,1.0,2.0,17.0,0.0,,,,
34,s ? p ? r t w ? ? d ? g æ n d t? i z,"[('s', 's'), ('?', '?'), ('p', 'p'), ('?', '?'), ('r', 'r'), ('t', 't'), ('w', 'w'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('k', 'g'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('t?', 't?'), ('i', 'i'), ('r', '-'), ('-', 'z')]",Aligned alveolar consonants /r/ and /z/,2,s ? p ? r t w ? ? d ? k æ n d t? i r,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 81.5]","[('s', 's'), ('?', '?'), ('p', 'p'), ('?', '?'), ('r', 'r'), ('t', 't'), ('w', 'w'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('k', 'g'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('t?', 't?'), ('i', 'i'), ('r', 'z')]",272,support with dock and cheer,Support with dog and cheese,16.0,1.0,2.0,1.0,19.0,0.0,16.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0
35,? ? n ? k p ? r s ? n t r ? z ? l t,"[('t', '?'), ('?', '-'), ('k', '-'), ('n', 'n'), ('i', '?'), ('k', 'k'), ('b', 'p'), ('?', '?'), ('t', '-'), ('-', 'r'), ('s', 's'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",Aligned the vowel /?/ and shifted /?/. Aligned the alveolar consonants /t/ and /r/ to be aligned.,6,t ? k n i k b ? t s ? n t r ? z ? l t,"[9.500000000000004, 75.0, 74.0, 0.0, 0.0, 0.0, 5.0, 0.0, 84.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', '-'), ('?', '?'), ('-', '?'), ('k', '-'), ('n', 'n'), ('i', '?'), ('k', 'k'), ('b', 'p'), ('?', '?'), ('t', 'r'), ('s', 's'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",280,technique but sent result,Ethnic percent result,12.0,1.0,3.0,4.0,19.0,1.0,13.0,1.0,2.0,4.0,19.0,0.0,0.0,0.0,1.0,0.0
36,n ? k d i p b ? t s ? n t r ? z ? l t,"[('-', 'n'), ('?', '?'), ('k', 'k'), ('n', '-'), ('-', 'd'), ('i', 'i'), ('k', '-'), ('-', 'p'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",Aligned /t/ with /n/ and /n/ with /d/ since these are all alveolar consonants. Aligned /k/ and /p/ since they are both plosives.,3,t ? k n i k b ? t s ? n t r ? z ? l t,"[109.0, 0.0, 0.0, 109.0, 89.0, 0.0, 74.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', 'n'), ('?', '?'), ('k', 'k'), ('n', 'd'), ('i', 'i'), ('k', 'p'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('?', '?'), ('n', 'n'), ('t', 't'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",288,technique but sent result,neck deep but sent result,16.0,3.0,2.0,0.0,18.0,1.0,16.0,0.0,0.0,3.0,19.0,0.0,1.0,0.0,0.0,0.0
37,ð ? g ? g f ? r ð ? h i r ? ?,"[('?', 'ð'), ('?', '?'), ('?', '-'), ('k', 'g'), ('?', '?'), ('?', '-'), ('-', 'g'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",Paired /?/ and /g/ since they are both velar consonants.,5,? ? ? k ? ? f ? r ð ? h i r ? ?,"[5.0, 0.0, 99.0, 5.0, 0.0, 99.0, 79.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'ð'), ('?', '?'), ('?', '-'), ('k', 'g'), ('?', '?'), ('?', 'g'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",296,thinking for the hearing,The gig for the hearing,11.0,1.0,2.0,3.0,16.0,0.0,11.0,0.0,1.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0
38,t u ? b z ? r b ? p ð ? ? r ? n s ? ? d,"[('t', 't'), ('u', 'u?'), ('-', 'b'), ('s', 'z'), ('?', '?'), ('r', 'r'), ('t', '-'), ('b', 'b'), ('?', '?'), ('t', 'p'), ('f', 'ð'), ('i', '??'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]","Separated the double vowel paired alignments. Aligned the plosives /t/ and /b/ since I am guessing the participant heard ""-sorb"" as ""sort.""",8,t u s ? r t b ? t f i r ? n s ? ? d,,"[('t', 't'), ('u', 'u'), ('-', '?'), ('-', 'b'), ('s', 'z'), ('?', '?'), ('r', 'r'), ('t', 'b'), ('b', '-'), ('?', '?'), ('t', 'p'), ('f', 'ð'), ('i', '?'), ('-', '?'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]",304,to sort but fear inside,To absorb up the air inside,12.0,1.0,1.0,5.0,18.0,0.0,12.0,3.0,1.0,5.0,18.0,0.0,,,,
39,s t ? r t b ? t f i r ? n s ? ? d,"[('t', 's'), ('u', '-'), ('s', 't'), ('?', '?'), ('r', 'r'), ('t', 't'), ('b', 'b'), ('?', '?'), ('t', 't'), ('f', 'f'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]","I'm guessing the participant heard ""sort"" as ""start"" and missed the ""to.""",4,t u s ? r t b ? t f i r ? n s ? ? d,"[7.500000000000001, 75.0, 7.500000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', '-'), ('u', '-'), ('s', 's'), ('-', 't'), ('?', '?'), ('r', 'r'), ('t', 't'), ('b', 'b'), ('?', '?'), ('t', 't'), ('f', 'f'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]",312,to sort but fear inside,start but fear inside,14.0,0.0,1.0,3.0,18.0,1.0,15.0,1.0,2.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0
40,t u ? b z ? r b ? p ð ? ? r ? n s ? ? d',"[('t', 't'), ('u', 'u?'), ('-', 'b'), ('s', 'z'), ('?', '?'), ('r', 'r'), ('t', '-'), ('b', 'b'), ('?', '?'), ('t', 'p'), ('f', 'ð'), ('i', '??'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]","Separated the double vowel paired alignments. Aligned the plosives /t/ and /b/ since I am guessing the participant heard ""-sorb"" as ""sort.""",8,t u s ? r t b ? t f i r ? n s ? ? d,"[0.0, 0.0, 84.0, 75.0, 79.0, 5.0, 75.0, 84.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', 't'), ('u', 'u'), ('-', '?'), ('-', 'b'), ('s', 'z'), ('?', '?'), ('r', 'r'), ('t', 'b'), ('b', '-'), ('?', '?'), ('t', 'p'), ('f', 'ð'), ('i', '?'), ('-', '?'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]",320,to sort but fear inside,To absorb up the air inside,12.0,1.0,1.0,5.0,18.0,0.0,12.0,3.0,1.0,5.0,18.0,0.0,,,,
41,? ? z s i w ? ? w ? n d ? r,"[('?', '?'), ('?', '?'), ('t', '-'), ('?', '-'), ('l', '-'), ('s', 'z'), ('i', '-'), ('t', '-'), ('s', 's'), ('-', 'i'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('r', 'r')]","Missing /v/ in the alignment. Shifted /z/ in ""eyes"" over. Aligned the /s/ in ""seats"" with what the participant heard, ""s"" in ""sees.""",6,v ? ? t ? l s i t s w ? ? w ? n d ? r,"[0.0, 0.0, 84.0, 75.0, 79.0, 5.0, 75.0, 84.0, 0.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('v', '-'), ('?', '?'), ('?', '?'), ('t', '-'), ('?', '-'), ('l', '-'), ('-', 'z'), ('s', 's'), ('i', 'i'), ('t', '-'), ('s', '-'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('r', 'r')]",328,vital seats with wonder,eyes see with wonder,12.0,1.0,5.0,1.0,18.0,1.0,13.0,1.0,6.0,0.0,19.0,1.0,,,,
42,p l e ð ? r ? s i t s w ? ? w ? n d ? r,"[('v', 'p'), ('?', '-'), ('?', '-'), ('t', '-'), ('?', '-'), ('l', 'l'), ('-', 'e'), ('-', 'ð'), ('-', '?'), ('-', 'r'), ('-', '?'), ('s', 's'), ('i', 'i'), ('t', 't'), ('s', 's'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('r', 'r')]","Aligned using ""seats"" for ""-ceipts."" Alveolar vowels paired (/l/ and /r/). Moved the original /l/ alignment.",6,v ? ? t ? l s i t s w ? ? w ? n d ? r,"[14.500000000000004, 75.0, 75.0, 84.0, 75.0, 0.0, 75.0, 83.5, 75.0, 84.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('v', 'p'), ('-', 'l'), ('?', 'e'), ('?', '-'), ('t', 'ð'), ('?', '?'), ('l', 'r'), ('-', '?'), ('s', 's'), ('i', 'i'), ('t', 't'), ('s', 's'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('r', 'r')]",336,vital seats with wonder,Play the receipts with wonder,14.0,5.0,4.0,1.0,19.0,1.0,14.0,2.0,1.0,4.0,19.0,0.0,,,,
