group,Column1,alignments,comments,distance,original,phone similarity,suggested alignments,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant
20,h i r z ð ? r o d ? g ? n,"[('-', 'h'), ('?', 'i'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '-'), ('-', 'r'), ('z', 'z'), ('d', 'ð'), ('b', '-'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', 'o'), ('r', '-'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]","/k/ in ""confused"" was unaccounted for originally",9,k ? n f j u z d b ? t r ? r d ? g ? n,"[0.0, 0.0, 3.999999999999999, 63.0, 0.0, 81.5, 0.0, 75.0, 0.0, 0.0, 84.0, 0.0, 75.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('-', 'h'), ('?', 'i'), ('n', '-'), ('f', '-'), ('j', '-'), ('u', '-'), ('-', 'r'), ('z', 'z'), ('d', 'ð'), ('b', '-'), ('?', '?'), ('t', '-'), ('r', 'r'), ('?', 'o'), ('r', '-'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",160,confused but roared again,heres the road again,7,2,7,4,18,1,7,2,8,4,19,0
21,? n ? u z d b ? t r ? r d ? g ? n,WRONG ALIGNMENT WAS LISTED,WRONG ALIGNMENT WAS LISTED,7,k ? n f j u z d b ? t r ? r d ? g ? n,"[10.0, 0.0, 109.0, 84.0, 75.0, 84.0, 0.0, 0.0, 0.0, 83.5, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('k', '-'), ('?', '?'), ('n', 'n'), ('f', '?'), ('j', '-'), ('u', 'u'), ('z', 'z'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('r', 'r'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('?', '?'), ('g', 'g'), ('?', '?'), ('n', 'n')]",168,confused but roared again,enthused but roared again,,,,,,,15,0,2,2,19,0
22,? ? w ? d b ? ? ? s æ n d ? l,"[('?', '?'), ('n', '-'), ('-', '?'), ('w', 'w'), ('?', '?'), ('?', 'd'), ('f', 'b'), ('?', '?'), ('?', '?'), ('n', '-'), ('?', '?'), ('s', 's'), ('t', '-'), ('h', '-'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]","Missing the /d/ in ""done.""",1,d ? n w ? ? f ? ? n ? s t h æ n d ? l,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('d', '-') ('?', '?'), ('n', '-'), ('-', '?'), ('w', 'w'), ('?', '?'), ('?', 'd'), ('f', 'b'), ('?', '?'), ('?', '?'), ('n', '-'), ('?', '?'), ('s', 's'), ('t', '-'), ('h', '-'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",176,done with finest handle,i would buy a sandal,9,1,4,5,18,0,,,,,,
23,d? ? n w ? l s ? ? n ð ? s t u h æ n d ? l,"[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('-', 'l'), ('?', 's'), ('f', '-'), ('?', '?'), ('?', '?'), ('n', 'n'), ('-', 'ð'), ('?', '?'), ('s', 's'), ('t', 't'), ('-', 'u'), ('h', 'h'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",Original alignment makes sense but I think the /s/ would be better aligned with another fricative /f/ as suggested.,5,d ? n w ? ? f ? ? n ? s t h æ n d ? l,"[75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.999999999999999, 0.0, 79.0, 0.0, 0.0, 76.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('d', 'd?'), ('?', '?'), ('n', 'n'), ('w', 'w'), ('?', '?'), ('-', 'l'), ('?', '-'), ('f', 's'), ('?', '?'), ('?', '?'), ('n', 'n'), ('-', 'ð'), ('?', '?'), ('s', 's'), ('t', 't'), ('-', 'u'), ('h', 'h'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('l', 'l')]",184,done with finest handle,john will sign this to handle,14,3,1,4,19,0,14,3,1,4,19,0
24,b ? r g ? r t e k ? r ? i t,"[('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'g'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",Missing the /?/ and /m/ in the original alignment.,7,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'g'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",192,embark or take her sheet,burger taker sheet,10,0,1,4,15,0,10,0,3,4,17,1
25,b ? r n t ? r t e k h ? r ? i t,"[('b', 'b'), ('?', '?'), ('r', 'r'), ('-', 'n'), ('k', 't'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",Missing the /?/ and /m/ in the original alignment.,5,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 0.0, 0.0, 109.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('-', 'n'), ('k', 't'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",200,embark or take her sheet,burnt or take her sheet,13,1,0,2,15,0,13,1,2,2,17,1
26,b ? r k ? r t e k ? r ? i t,"[('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",Missing the /?/ and /m/ in the original alignment.,5,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', '-'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', '-'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",208,embark or take her sheet,barker taker sheet,12,0,1,2,15,0,12,0,3,2,17,1
27,d ? n b ? r k ? r t e k h ? r ? i t,"[('?', '?'), ('m', 'n'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]","Missing /d/ in ""den"" in original alignment.",2,? m b ? r k ? r t e k h ? r ? i t,"[0.0, 6.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('-', 'd'), ('?', '?'), ('m', 'n'), ('b', 'b'), ('?', '?'), ('r', 'r'), ('k', 'k'), ('?', '?'), ('r', 'r'), ('t', 't'), ('e', 'e'), ('k', 'k'), ('h', 'h'), ('?', '?'), ('r', 'r'), ('?', '?'), ('i', 'i'), ('t', 't')]",216,embark or take her sheet,den bark or take her sheet,16,0,0,1,17,0,16,1,0,1,17,1
28,r æ m p ? p ð ? m o s t k æ p t ? n,"[('r', 'r'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('?', '?'), ('n', '-'), ('t', 'p'), ('b', 'ð'), ('o', '?'), ('-', 'm'), ('-', 'o'), ('s', 's'), ('t', 't'), ('?', '-'), ('?', '-'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]","Original alignment makes sense, but I think the /o/ in ""boasting"" and ""most"" should be aligned instead and the /b/ and /m/ should be aligned since they are both bilabial consonants.",7,r æ m p ? n t b o s t ? ? k æ p t ? n,"[0.0, 0.0, 0.0, 0.0, 0.0, 109.0, 6.000000000000001, 11.5, 0.0, 115.0, 75.0, 0.0, 0.0, 75.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('?', '?'), ('n', '-'), ('t', 'p'), ('-', 'ð'), ('-', '?'), ('b', 'm'), ('o', 'o'), ('s', 's'), ('t', 't'), ('?', '-'), ('?', '-'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",224,rampant boasting captain,ramp up the most captain,12,2,3,4,19,0,13,2,3,3,19,0
29,r æ n t ? ? b o t ? ? k æ p t ? n,"[('r', 'r'), ('æ', 'æ'), ('m', '-'), ('p', '-'), ('?', '-'), ('n', 'n'), ('t', 't'), ('-', '?'), ('-', '?'), ('b', 'b'), ('o', 'o'), ('s', '-'), ('t', 't'), ('?', '?'), ('?', '?'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]","To me, it makes more sense to align /m/ and /n/ since they are both nasal sounds, /p/ to /t/ because they are both plosives, /?/ and /?/ both vowels, and /n/ and /?/ as nasal sounds.",6,r æ m p ? n t b o s t ? ? k æ p t ? n,"[0.0, 0.0, 115.0, 90.0, 75.0, 0.0, 0.0, 75.0, 99.0, 0.0, 0.0, 76.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('æ', 'æ'), ('m', 'n'), ('p', 't'), ('?', '?'), ('n', '?'), ('t', '-'), ('b', 'b'), ('o', 'o'), ('s', '-'), ('t', 't'), ('?', '?'), ('?', '?'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",232,rampant boasting captain,ranting boating captain,15,2,4,0,19,0,13,0,2,4,19,0
30,r æ p æ n d k o s t ð ? k æ p t ? n,"[('r', 'r'), ('æ', 'æ'), ('m', '-'), ('p', 'p'), ('?', 'æ'), ('n', 'n'), ('t', 'd'), ('b', '-'), ('-', 'k'), ('o', 'o'), ('s', 's'), ('t', 't'), ('-', 'ð'), ('?', '?'), ('?', '-'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]","I really like the original alignment, and it may be better, but could /m/ and /p/ also be aligned since they are both bilabial consonants? Similarly for /b/ and /k/ they are both plosives.",6,r æ m p ? n t b o s t ? ? k æ p t ? n,"[0.0, 0.0, 115.0, 0.0, 0.0, 0.0, 5.0, 95.0, 74.0, 0.0, 0.0, 0.0, 83.5, 0.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('æ', 'æ'), ('m', 'p'), ('p', '-'), ('?', 'æ'), ('n', 'n'), ('t', 'd'), ('b', 'k'), ('o', 'o'), ('s', 's'), ('t', 't'), ('-', 'ð'), ('?', '?'), ('?', '-'), ('k', 'k'), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",240,rampant boasting captain,rap and coast the captain,13,2,3,3,19,0,12,1,2,5,19,0
31,r æ p ? d b ? l t ? k k æ p t ? n,"[('r', 'r'), ('æ', 'æ'), ('m', '-'), ('p', 'p'), ('?', '?'), ('n', '-'), ('t', 'd'), ('b', 'b'), ('o', '?'), ('s', '-'), ('-', 'l'), ('t', 't'), ('?', '?'), ('?', '-'), ('k', ['k', 'k']), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]","I really like the original alignment, and it may be better, but could /m/ and /p/ also be aligned since they are both bilabial consonants? Similarly for /s/ and /l/, while this one is a stretch they are both produced in the same area (alveolar?)",7,r æ m p ? n t b o s t ? ? k æ p t ? n,"[0.0, 0.0, 115.0, 0.0, 0.0, 109.0, 5.0, 0.0, 0.0, 76.5, 79.0, 0.0, 0.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('r', 'r'), ('æ', 'æ'), ('m', 'p'), ('p', '-'), ('?', '?'), ('n', '-'), ('t', 'd'), ('b', 'b'), ('o', '?'), ('s', 'l'), ('t', 't'), ('?', '?'), ('?', '-'), ('k', ['k', 'k']), ('æ', 'æ'), ('p', 'p'), ('t', 't'), ('?', '?'), ('n', 'n')]",248,rampant boasting captain,rapid baltic captain,,,,,,,,,,,,
32,r o ð ? l æ n d ð i z,"[('r', 'r'), ('o', 'o'), ('d', '-'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'n'), ('p', 'd'), ('f', 'ð'), ('?', 'i'), ('r', '-'), ('t', '-'), ('i', '-'), ('z', 'z'), ('?', '-'), ('?', '-')]","Original alignment is good, but I think the /i/ should both be aligned.",9,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 6.000000000000001, 11.0, 6.999999999999997, 0.0, 84.0, 84.0, 75.0, 0.0, 75.0, 99.0]","[('r', 'r'), ('o', 'o'), ('d', '-'), ('ð', 'ð'), ('?', '?'), ('l', 'l'), ('æ', 'æ'), ('m', 'n'), ('p', 'd'), ('f', 'ð'), ('?', '-'), ('r', '-'), ('t', '-'), ('i', 'i'), ('z', 'z'), ('?', '-'), ('?', '-')]",256,rode the lamp for teasing,row the land these,7,0,6,4,17,0,8,0,6,3,17,0
33,r u d l æ m p b ? t t i ð ? ?,"[('r', 'r'), ('o', 'u'), ('d', 'd'), ('ð', '-'), ('?', '-'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'b'), ('?', '?'), ('r', '-'), ('t', ['t', 't']), ('i', 'i'), ('z', 'ð'), ('?', '?'), ('?', '?')]","I think the /r/ and /t/ align well since they are both alveolar consonants, then this solves the double-t issue.",7,r o d ð ? l æ m p f ? r t i z ? ?,"[0.0, 0.0, 0.0, 83.5, 75.0, 0.0, 0.0, 0.0, 0.0, 14.500000000000004, 0.0, 84.0, 0.0, 0.0, 2.0000000000000018, 0.0, 0.0]","[('r', 'r'), ('o', 'u'), ('d', 'd'), ('ð', '-'), ('?', '-'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('f', 'b'), ('?', '?'), ('r', 't'), ('t', 't'), ('i', 'i'), ('z', 'ð'), ('?', '?'), ('?', '?')]",264,rode the lamp for teasing,rude lamp but teething,,,,,,,10,0,2,5,17,0
34,s ? p ? r t w ? z d ? r k æ n d s ? n s i r,"[('s', 's'), ('?', '?'), ('p', 'p'), ('?', '?'), ('r', 'r'), ('t', 't'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('d', 'd'), ('?', '?'), ('-', 'r'), ('k', 'k'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('t?', 's'), ('i', '?'), ('-', 'n'), ('-', 's'), ('-', 'i'), ('r', 'r')]","Aligned the /ir/ in ""sincere"" and ""cheer.""",7,s ? p ? r t w ? ? d ? k æ n d t? i r,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.000000000000002, 0.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 6.500000000000002, 0.0, 109.0, 76.5, 75.0, 0.0]","[('s', 's'), ('?', '?'), ('p', 'p'), ('?', '?'), ('r', 'r'), ('t', 't'), ('w', 'w'), ('?', '?'), ('?', 'z'), ('d', 'd'), ('?', '?'), ('-', 'r'), ('k', 'k'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('t?', 's'), ('-', '?'), ('-', 'n'), ('-', 's'), ('i', 'i'), ('r', 'r')]",272,support with dock and cheer,support was dark and sincere,14,4,1,4,19,0,15,4,1,3,19,0
35,d ? l i t b ? t s e m r ? z ? l t,"[('t', 'd'), ('?', '?'), ('k', '-'), ('n', '-'), ('-', 'l'), ('i', 'i'), ('k', 't'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('?', 'e'), ('n', 'm'), ('t', '-'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",Aligned the alveolar consonants /n/ and /l/,8,t ? k n i k b ? t s ? n t r ? z ? l t,"[5.0, 0.0, 74.0, 109.0, 79.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.000000000000001, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', 'd'), ('?', '?'), ('k', '-'), ('n', 'l'), ('i', 'i'), ('k', 't'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('?', 'e'), ('n', 'm'), ('t', '-'), ('r', 'r'), ('?', '?'), ('z', 'z'), ('?', '?'), ('l', 'l'), ('t', 't')]",280,technique but sent result,delete but same result,11,1,3,5,19,0,11,0,2,6,19,0
36,? e ? k f ? l f ? r ð ? h i r ? ?,"[('?', '?'), ('?', 'e'), ('?', '?'), ('k', 'k'), ('-', 'f'), ('?', '?'), ('?', '-'), ('-', 'l'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]","Participant did not hear ""for.""",4,? ? ? k ? ? f ? r ð ? h i r ? ?,"[0.0, 0.0, 0.0, 0.0, 80.5, 0.0, 99.0, 79.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('?', 'e'), ('?', '?'), ('k', 'k'), ('-', 'f'), ('?', '?'), ('?', '-'), ('-', 'l'), ('f', '-'), ('?', '-'), ('r', '-'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",288,thinking for the hearing,thankful the hearing,13,2,1,2,16,0,10,2,4,2,16,1
37,ð e k e m f ? r ð ? h i r ? ?,"[('?', 'ð'), ('?', 'e'), ('?', '-'), ('k', 'k'), ('?', 'e'), ('?', '-'), ('-', 'm'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",Aligned /?/ and /m/ - nasal consonants,5,? ? ? k ? ? f ? r ð ? h i r ? ?,"[5.0, 0.0, 99.0, 0.0, 0.0, 99.0, 115.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'ð'), ('?', 'e'), ('?', '-'), ('k', 'k'), ('?', 'e'), ('?', 'm'), ('f', 'f'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",296,thinking for the hearing,they came for the hearing,11,1,2,3,16,0,11,0,1,4,16,0
38,ð e ? ? m p ? r t ð ? h i r ? ?,"[('?', 'ð'), ('?', 'e'), ('?', '-'), ('k', '-'), ('?', '?'), ('?', '-'), ('-', 'm'), ('f', 'p'), ('?', '?'), ('r', 'r'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]","Alignment was mising ""?"" and ""t"" in ""import.""",6,? ? ? k ? ? f ? r ð ? h i r ? ?,"[5.0, 0.0, 99.0, 74.0, 0.0, 99.0, 115.0, 9.500000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', 'ð'), ('?', 'e'), ('?', '-'), ('k', '-'), ('?', '?'), ('-', '?'), ('?', '-'), ('-', 'm'), ('f', 'p'), ('?', '?'), ('r', 'r'), ('-', 't'), ('ð', 'ð'), ('?', '?'), ('h', 'h'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('?', '?')]",304,thinking for the hearing,they import the hearing,10,1,3,3,16,0,10,3,3,3,16,0
39,ð ? s ? ? t w ? d f i r ? n s ? ? d,"[('t', 'ð'), ('u', '?'), ('s', 's'), ('-', '?'), ('?', '?'), ('r', '-'), ('t', 't'), ('b', '-'), ('-', 'w'), ('?', '?'), ('t', 'd'), ('f', 'f'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]",Might not be right but 'w' is noted to be labial-palatal approximate so maybe /b/ and /w/ could be paired here.,7,t u s ? r t b ? t f i r ? n s ? ? d,"[14.500000000000004, 0.0, 0.0, 78.5, 0.0, 84.0, 0.0, 95.0, 75.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('t', 'ð'), ('u', '?'), ('s', 's'), ('-', '?'), ('?', '?'), ('r', '-'), ('t', 't'), ('b', 'w'), ('?', '?'), ('t', 'd'), ('f', 'f'), ('i', 'i'), ('r', 'r'), ('?', '?'), ('n', 'n'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'd')]",312,to sort but fear inside,this thought would fear inside,12,2,2,4,18,0,12,1,1,5,18,0
40,v ? ? t ? l t i w ? ? w ? t ? r,"[('v', 'v'), ('?', '?'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l'), ('s', '-'), ('i', '-'), ('t', 't'), ('s', '-'), ('-', 'i'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', '-'), ('d', 't'), ('?', '?'), ('r', 'r')]",Aligned the alveolar consonants /s/ and /t/,6,v ? ? t ? l s i t s w ? ? w ? n d ? r,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.5, 75.0, 0.0, 76.5, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109.0, 5.0, 0.0, 0.0]","[('v', 'v'), ('?', '?'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l'), ('s', 't'), ('i', 'i'), ('t', '-'), ('s', '-'), ('w', 'w'), ('?', '?'), ('?', '?'), ('w', 'w'), ('?', '?'), ('n', '-'), ('d', 't'), ('?', '?'), ('r', 'r')]",320,vital seats with wonder,vital tea with water,13,1,4,2,19,0,13,0,3,3,19,0
