SPK_ID,Traget pattern,Num of transcripts,Transcript 1,Transcript 2,Transcript 3,Transcript 4,Transcript 5,Transcript 6,Transcript 7,Transcript 8,Transcript 9,Transcript 10
HCF1_clear,account for who could knock,10,a kilt but he could not,account for he could not,account what she did not,account for who could not,Account so he could not,account bookkeep it not,account cause he could not,Account but we could not.,Accounting of she could not.,accounts of this did not
HCF1_clear,admit the gear beyond,10,admit into beyond,admit to go beyond,admit that you're beyond,admit the gear beyond,Admit that you are blind,admit to it beyond,admit to hear beyond,Admit to do beyond.,Admit to do the arms.,admit that she's not
HCF1_clear,advance but sat appeal,7,advance the staff appeal,advance at sat appeal,Advance a staff appeal,advance but sat appeal,advance to staff appeal,Advanced to that appeal,Advance the class appeal.,,,
HCF1_clear,afraid beneath demand,7,afraid for me Jermaine,afraid beneath the man,afraid beneath the main,Afraid beneath the mane,afraid to leave the man,Afraid beneath the mage,Afraid beneath the moon.,,,
HCF1_clear,amend estate approach,8,an embassy echo,aminded state approach,amend a safe approach,an industry approach,I'm in the state approach,Amend the state approach,an understate approach,ammend the state approach,,
HCF1_clear,assume to catch control,8,a tune to catch control,assume pest control,a thing to catch and fold,assume protect control,Attune the test behold,Approve the pest control,assume the test control,assume protect control,,
HCF1_clear,attack became concerned,9,a cat will take the turn,attack behave behind,Attack the saintly crew,Attack between two friends.,attack the kink and fern,attack between,attack became confirmed,Attack the things you fear,attack became conformed,
HCF1_clear,avoid or beat command,9,Avoid or be the man,avoid or be floored,Avoid or be smeared,Avoid or be smoothed.,avoid obese man,avoid,avoid or be seen,Avoid or be scared,avoid or be fooled,
HCF1_clear,award his drain away,9,Award the drain away,i want to dream this way,award his drain away,Award his brian away,awards that drain away,ward his rain away,award his brain away,Award his drain away.,Award his drain away.,
HCF1_clear,balance clamp and bottle,9,Balance plants and bottles,i need the bathroom,balance plant and bottle,found stamp and barter,balance plant and dollar,"balance, plant and bottled",balance clamp and bottle,Balance cramps and bottles.,Balance plants and daughter.,
HCF1_clear,beside a sunken bat,9,The side of the back,inside of something bad,Decide of something bad,beside a sunken vat,Decide a prison back,inside a purple vat,Beside a sunken bag.,decide if somethings black,(unintelligible),
HCF1_clear,bush is chosen after,8,Put is chosen after,Bush is chosen after,push the chosen after,Bush is chosen after.,push is chosen after,bush is chosen after,Put itself in acting,(unintelligible) is chosen after,,
HCF1_clear,butcher in the middle,10,put her in the middle,butcher in the middle,Butcher in the middle.,Put ear in the middle,pitcher in the middle,clicker in the middle,put your in the middle,picture in the middle,put yours in the middle,put cher in the middle
HCF1_clear,cheap control in paper,10,keep control and taper,chief patrol,Sheet becall trooper,Beach control,keep the ball in circle,seek control indifferent,cheap pixel paper,keep control cooper,keep control equipment,keep control safely
HCF1_clear,confused but roared again,8,conceived but roared again,Confused but bored as a,confused but lord adored,"confused, but born again",Confused but roared again.,Confused but lord a door.,confused but roared again,confused but lord again,,
HCF1_clear,constant willing walker,8,constant willing walker,A constant growing walker,constant roaming raffle,constant whoppers,Constant grilling lawsuit,Constant rowing walkers.,constant rowing water,constant rowing walker,,
HCF1_clear,define respect instead,9,The eye has tight fixtures.,the time is left unsaid,define respective drug,define the sexy slug,define respect instead,define the spec he said,define respect instead,define the best you could,Define respect she said.,
HCF1_clear,distant leaking basement,8,"icky, icky icky",discrete dating,different leaking basement,frequent frequent blasse,liquid sinking basins,thank you,leaking basement,Forget to say thank you.,,
HCF1_clear,done with finest handle,6,sun was finding silver,Then the finest candle,done the finest amber,Jen was finally single,done the finest handle,Done with finest humor.,,,,
HCF1_clear,embark or take her sheet,6,emabark or kick the sheet,Embark the fitted sheet,embarked or shook the sheet,embark on Christmas Peak,"embark, or face defeat",Embark on Christmas geek.,,,,
HCF1_clear,functions aim his acid,10,i eat apple,Inaudible,something in the acid,"functions, aims, and assests",Constant aim is passage.,functioned agained passage,Pumpkin aimed his aphid,functioned aimed catholic,something's aimed at abby,Something aged happened
HCF1_clear,hold a page of fortune,9,hold a tape of,Fold a page of fortune,pulled a page a porky,hold a cage of forces,ford apear the fourteen,hold a page of fortune,hold a page of fortune.,hold a page of broken,hold a case a fortune,
HCF1_clear,indeed a tax ascent,9,It is an oxygen,Indeed a tax restraint.,In need a castrastrophe.,bingy a tax evict,Indeed a package this,Indeed a tax implant,You're being attacked,Indeed a cat to see.,Indeed attacked a friend,
HCF1_clear,kick a tad above them,10,Pick a cat above them,Pick a tad above them.,Kick a cat above one.,Pick the pad above them,pick a cat above them,Pick a tad above one,hit a tad above them,Pick a tad above them.,Pick a cat above them.,Pick a cat above them.
HCF1_clear,mate denotes a judgment,3,make a most  dead beat,Make the note a deadbeat,make the most of deadly,,,,,,,
HCF1_clear,measure fame with legal,3,measure same allegiance,Measure thing with legal,measure fame is legal,,,,,,,
HCF1_clear,narrow seated member,1,Meryl scenous wonder,,,,,,,,,
HCF1_clear,perceive sustained supplies,1,perceive the stains of flight,,,,,,,,,
HCF1_clear,rampant boasting captain,7,rampant function captain,rampant focus shopping,ramoant boasting captain,grandpa's post is often,busth the choosen after,Joseph punches Ashley,raising cupcakes after,,,
HCF1_clear,rode the lamp for testing,7,Roll the lamp,row the lamp between you,road the lamp for teasing,Roll the lamp to susan,roll the map to thinking,roll the wool between her,roads are made to tease them,,,
HCF1_clear,sinking rather tundra,8,thank you rather congrats,Sadie rabbit congee,speaking radly tundra,stinking ravish tundra,thinking rather tundra,speaking rather tender,cici is rather humble,Sleepy rather tundra,,
HCF1_clear,spackle enter broken,8,back into working,Facile,battle over,that isn't broken,back upwheel broken,stackle in the open,no idea,Spackle enters broken,,
HCF1_clear,stable wrist and load it,9,verbal riff the lotus,stable yet elated,stable rich and wondrous,stable with a hundred,"Gable, wrist related.",Stable ripped and loaded,Stable wrist and loaded,stable this and later,stable rift and load it,
HCF1_clear,support with dock and cheer,9,the fort is stocked with cheer,supports its stock and shears,support the stock in tears,the porch was docked with cheers,Support is docked with shears.,The port is blocked with fear,Support with rock and cheer,support his jaw and cheered,support it dot we here,
HCF1_clear,technique but sent result,8,Technique consists results.,Technique but stiff result,technic persist  results,technique in the belt,the blue in in vault,Technique that fits you both,technique but sense results,technique but sense result,,
HCF1_clear,thinking for the hearing,8,Thinking for the theory.,Thinking in the sea,.. for the theory,greatly for the theory,Sleepies for the food,Sleeping witht the theory,thinking for the serious,thinking for the hearing,,
HCF1_clear,to sort but fear inside,7,distort but theory five,Distort but see inside,The sort that stay inside.,the choice that's inside,distort thigh,the short but eerie side,distort but very fine,,,
HCF1_clear,unless escape can learn,7,I love escape and learn,Unless a station learns,Unless it's safe to learn.,i love the cakes and lime,unless escape can learn,unless escape to learn,unless a state can learn,,,
HCF1_clear,unseen machines agree,7,Unseen machine agreed.,Unseen dream agree,I am seeing a goat.,I am seeing a goat.,unfeed machine agreed,unseen machine agreed,Unseen machine agrees,,,
HCF1_clear,vital seats with wonder,7,Vital teeth with wonder.,Vitalcies with oneness,Why don't you come one day.,Why don't you come one day,vital keep its wonder,vitamin with wonder,Vital teeth with wonder,,,